id_number	mz	rtime	rtime_left_base	rtime_right_base	parent_masstrack_id	peak_area	cSelectivity	goodness_fitting	snr	detection_counts	CPD041_EVC1	CPD041_EVC2	CPD041_EVC3	CPD041_KGD001	CPD041_KGD002	CPD041_KGD003	CPD041_KGD005	CPD041_KGD007	CPD041_KGD008	CPD041_KGD009	CPD041_KGD010	CPD041_KGD011	CPD041_KGD013	CPD041_KGD014	CPD041_KGD015	CPD041_KGD016	CPD041_KGD017	CPD041_KGD018	CPD041_KGD019	CPD041_KGD021	CPD041_KGD022	CPD041_KGD023	CPD041_KGD025	CPD041_KGD026	CPD041_KGD028	CPD041_KGD031	CPD041_KGD032	CPD041_KGD033	CPD041_KGD034	CPD041_KGD035	CPD041_KGD036	CPD041_KGD037	CPD041_KGD038	CPD041_KGD040	CPD041_KGD041	CPD041_KGD042	CPD041_KGD043	CPD041_KGD044	CPD041_KGD045	CPD041_KGD048	CPD041_KGD051	CPD041_KGD052	CPD041_KGD057	CPD041_KGD058	CPD041_KGD064	CPD041_KGD066	CPD041_KGD069	CPD041_KGD070	CPD041_KGD075	CPD041_KGD076	CPD041_KGD077	CPD041_KGD078	CPD041_KGD079	CPD041_KGD080	CPD041_KGD081	CPD041_KGD082	CPD041_KGD083	CPD041_KGD084	CPD041_KGD085	CPD041_KGD086	CPD041_KGD087	CPD041_KGD088	CPD041_KGD089	CPD041_KGD090	CPD041_KGD091	CPD041_KGD092	CPD041_KGD093	CPD041_KGD094	CPD041_KGD095	CPD041_KGD096	CPD041_KGD097	CPD041_KGD098	CPD041_KGD099	CPD041_KGD101	CPD041_KGD102	CPD041_KGD103	CPD041_KGD104	CPD041_KGD105	CPD041_KGD106	CPD041_KGD107	CPD041_KGD108	CPD041_KGD109	CPD041_KGD110	CPD041_KGD111	CPD041_KGD112	CPD041_KGD113	CPD041_KGD114	CPD041_KGD115	CPD041_KGD116	CPD041_KGD117	CPD041_KGD118	CPD041_KGD119	CPD041_KGD120
F15	279.1144	67.92	66.74	69.09	15	105311611	1.0	0.96	1890	93	1128497	922888	951966	1172088	865260	1186557	809503	1678656	1041218	1397720	1164697	913929	1080257	943984	1464211	1162494	1060900	1095857	975151	997376	978465	1183748	1372346	869692	1164707	1447692	990085	889430	1224176	963583	1310735	1134640	956932	922322	2033127	1117630	1565139	1164521	1423526	1038139	967031	869466	1062689	1111886	1105555	1356434	1622690	1043646	1043500	996542	802028	974386	963583	1131345	1078906	1084520	1139566	967418	983543	1042010	1170014	1125834	993370	878971	5816187	1179382	982182	1116311	978014	1054612	753139	1111707	1142168	112489	1088894	1180963	1046651	1842165	1033314	1110239	998627	911951	1018189	1158288	1080528	677532	1103895	985709	1051547	936171	726287	1048633	812060
F16	130.1581	26.64	26.34	27.32	0	352613	0.56	0.81	76	88	4610	3995	4449	5417	2278	2410	1183	9400	2590	0	2366	2974	4247	4161	4044	4954	4053	2163	6292	4700	3934	4890	5393	1466	3550	6047	3749	6029	0	5231	5161	3518	4470	5457	3397	0	3764	3925	1243	6862	4878	3948	4815	3445	4815	2863	3946	4268	5944	4549	4212	2619	3697	5107	6589	4835	8174	3550	1301	1140	5926	3313	1837	4776	1069	2544	6504	5000	2677	3428	0	3893	5088	5175	3770	3388	5449	4180	3701	5395	4097	5945	4449	5161	1018	2769	0	1279	5000	5344	5386	3579	3406
F17	130.1581	54.58	53.8	55.76	0	9374451	1.0	0.95	910	87	130380	109191	112085	108461	99377	102445	110282	105231	107418	0	110178	106163	116635	103924	112094	109946	113298	100232	103798	108324	110568	116196	112104	101123	124767	108733	116598	111379	0	110409	105737	101864	115546	103155	112044	0	108314	108460	104586	104051	110885	110313	105340	110984	107889	107583	109459	109362	104287	103151	105793	96368	107332	99335	110393	107535	107112	102574	101080	113140	107248	109016	97760	100907	0	111826	105653	107889	100703	101927	0	97701	104000	131063	100021	104857	108803	108981	107252	105906	108960	106075	113098	109773	110268	106069	0	102813	108339	119605	113482	107510	102935
F18	280.1175	67.92	66.84	69.09	16	13730899	1.0	0.95	1107	89	107935	126871	125602	140809	112724	144991	0	220479	143626	192782	159126	94493	141123	136809	196785	151809	126787	158954	135104	144314	139204	172697	179118	105769	164231	205774	111102	134880	173044	146940	178072	155573	118072	122296	286445	159169	217906	146303	205080	134716	102406	96941	160764	155843	112839	172327	210604	137579	148489	128759	120872	134859	129114	122943	135463	136195	154545	137737	103091	145185	165952	135734	141696	117658	856469	145945	136313	132676	145233	141333	83026	128427	138223	0	161671	146666	151383	258104	151922	150685	138778	119716	131995	172705	151505	0	159267	124356	133219	124593	0	131077	114503
F19	323.1039	61.35	60.36	62.52	24	1510943	1.0	0.98	146	2	0	0	0	0	0	0	0	1129626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	404317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F20	162.9969	29.67	27.13	34.09	1	900902	1.0	0.95	20	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	530571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	445787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F21	281.1136	67.82	67.03	69.0	17	222805	1.0	0.97	19	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F22	324.107	61.25	60.56	62.42	25	149574	1.0	0.97	15	1	0	0	0	0	0	0	0	170178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F23	350.067	60.86	59.88	62.03	30	19285638	1.0	0.98	1827	91	223853	218727	206475	286060	264875	261934	265603	198947	249555	253617	214138	224292	233236	201275	176914	287581	238683	241195	231035	210323	220178	226756	190406	152152	216530	208078	225603	234729	191051	175652	203595	205876	179199	210674	263046	211133	208457	214010	206803	232417	191588	235071	214145	231104	226476	200213	143892	234068	215803	229407	217954	247130	234303	210257	200461	187974	206832	192974	191554	202726	214234	195988	193923	240953	0	207896	213246	218523	216715	217824	216491	210602	201161	0	229834	226032	211120	145539	204193	189318	193378	191020	193236	173189	180352	163649	205123	225480	215643	159220	178262	191133	206766
F24	350.067	65.96	65.27	66.84	30	1989867	0.94	0.98	168	90	18471	24073	22277	19977	39399	24857	33231	18135	34210	22989	29339	12570	23993	27687	18820	18595	24602	27991	29343	20475	31504	32603	20955	20116	25825	28592	32574	17739	20137	23434	25100	21262	23610	21324	13516	25018	23246	30337	15965	21250	18988	27433	28729	23932	26024	25851	0	29477	30778	28674	20953	16122	24422	16154	21094	23997	26174	16568	25890	26266	23800	23074	24827	18286	0	18214	24492	23293	27367	23149	27576	26365	17281	0	20443	6231	12882	11671	19105	18631	16238	19934	25155	9909	9029	25194	23618	16243	19303	12573	14200	13387	12730
F25	236.0727	52.81	51.64	53.99	2	797056551	1.0	0.97	187	93	8937844	9402348	9046054	9379818	9582878	8915682	9787043	7312169	9518026	8806348	9088850	8856750	8910200	8750176	8286800	9497210	9063296	9246902	8992803	8879119	8331367	9362427	9200843	8891065	8780807	8334334	8423507	9180507	8962507	8539564	8310076	8559352	8390635	8694218	6380844	8099261	8164315	8337317	7939448	9110890	8319948	8785085	8831528	8548405	8261657	8495148	8427897	9521912	8696854	9102195	9615628	9264539	9591302	8953301	8586948	8444407	9020518	8486285	8719239	8672968	8625319	8181735	8882752	9427877	895990	8954716	8619414	8868861	8577354	8571444	9506690	8083623	8528331	8221614	8357001	8781403	9283488	7105803	8285935	8719948	8813720	8808475	8955363	8576810	8120387	8560388	8793565	9463089	8791893	7943554	9264828	8482469	9224716
F26	335.1401	67.62	66.45	68.8	26	275577191	1.0	0.98	691	93	3084455	3131035	3105931	3275522	3427158	3394050	3633959	3056507	3438282	3415219	3638228	3434258	3121465	2809531	2342419	3313744	3050118	3119143	3460900	3321406	3171091	3223140	2733594	2967747	2880847	2836268	2675143	2814640	3013889	2651178	2888690	2881158	2766158	3111373	2524469	3010237	2927074	3086216	2734443	3190682	2598066	3300448	3577006	3348664	3307107	2992387	2972189	3534182	3280265	3405872	3474799	3113188	3562696	3221075	3101042	2918739	2985407	3014556	3208590	3194040	3023646	2998535	2961653	3132896	287012	3129000	3330560	3172933	3290880	3340708	3576480	3187234	3048641	561221	3056424	2950722	3015731	2509102	2838730	2739046	2976403	2908194	2985849	2885097	2714606	2128342	2874225	3136272	2947179	1824832	2453651	2852191	3032272
F27	350.1225	63.6	62.72	64.78	31	3254955	1.0	0.96	314	24	0	0	139064	0	0	0	0	0	0	0	0	180076	0	137158	0	164527	0	0	0	271911	0	0	0	0	0	91921	106773	0	71595	0	0	0	92537	0	104217	0	0	0	192095	155912	0	0	0	103577	101955	0	152637	0	0	0	255222	0	0	0	0	0	0	0	258028	0	0	80540	113633	0	0	0	0	0	0	0	0	127642	0	0	111342	88375	0	0	0	0	0	0	0	0	82036	0	0	0	0	0	0	94182	0
